"rank_total","sum_total","sum_mean","sum_median","test_para"
1,1051048,65690.5,38701,65690.5
2,5368625,105267.156862745,82225,105267.156862745
3,2691398,107655.92,31548,107655.92
4,1384054,60176.2608695652,32398,60176.2608695652
5,931093,58193.3125,29284.5,58193.3125
6,1054859,75347.0714285714,23958.5,75347.0714285714
7,1572504,78625.2,22972.5,78625.2
8,798704,79870.4,46190,79870.4
9,246208,30776,25859.5,30776
10,935145,85013.1818181818,31631,85013.1818181818
11,1406064,93737.6,25364,93737.6
12,7309931,456870.6875,27404,128465.542441404
13,7234811,516772.214285714,26944,126298.880590527
14,3805625,634270.833333333,134723.5,124132.21873965
15,3455332,431916.5,25623,108800.79591807
16,89693,17938.6,13624,76683.1979590348
17,445656,44565.6,22238.5,44565.6
18,94487,18897.4,22213,71985.9
19,497031,99406.2,12964,99406.2
20,122836,30709,13746.5,66658.35
21,924632,308210.666666667,416793,66740.5421875
22,148448,37112,24513.5,66822.734375
23,3964257,566322.428571429,38470,69876
24,615840,102640,42702,102640
25,139186,46395.3333333333,18500,92341.8020833333
26,27000,13500,13500,82043.6041666667
27,941535,117691.875,26030.5,117691.875
28,507886,101577.2,18934,101577.2
29,46905,23452.5,23452.5,110675.85
30,820665,273555,336708,119774.5
31,432193,216096.5,216096.5,124795.083333333
32,389447,129815.666666667,13352,129815.666666667
33,586152,97692,28866,97692
34,1175109,167872.714285714,83420,130441.657738095
35,435106,217553,217553,126206.484002976
36,3738958,747791.6,25323,121971.310267857
37,596801,99466.8333333333,35995.5,99466.8333333333
38,411949,82389.8,11430,82389.8
39,0,0,NA,104133.525
40,1007018,125877.25,29857,125877.25
41,650849,216949.666666667,312271,73894.375
42,43823,21911.5,21911.5,60057.03125
43,0,0,NA,46219.6875
44,21233,10616.5,10616.5,70527.875
45,499167,124791.75,96621.5,124791.75
46,1617420,808710,808710,146074.0734375
47,2282118,456423.6,312856,167356.396875
48,1118124,159732,35073,159732
49,1511431,302286.2,160772,95553.5
50,31375,31375,31375,83697.50390625
51,36956,36956,36956,84487.5043945312
52,4040355,1346785,325203,85277.5048828125
53,0,0,NA,89992.125
54,2826211,471035.166666667,31216,161506.25
55,1938075,323012.5,81252.5,323012.5
56,3124836,347204,55422,502931.159090909
57,7511348,682849.818181818,37857,503303.7109375
58,2558792,1279396,1279396,499401.35546875
59,2972994,495499,187707.5,495499
60,9239380,769948.333333333,766738.5,466680.75
61,1367052,683526,683526,437862.5
62,1144850,286212.5,53677,417802.671875
63,5293611,661701.375,270885.5,397742.84375
64,1332702,666351,666351,509273.1875
65,2141070,356845,47802.5,446200.770833333
66,6867230,981032.857142857,977902,383128.354166667
67,1043806,347935.333333333,40310,409411.708333333
68,59104,29552,29552,466433.25
69,3509587,584931.166666667,492818,584931.166666667
70,1671971,278661.833333333,43830.5,506310.822916667
71,103834,34611.3333333333,33686,541514.973958333
72,4613753,576719.125,543055.5,576719.125
73,1765145,882572.5,882572.5,545259.160267857
74,2299041,328434.428571429,266921,560140.387276786
75,4343799,1447933,1230775,575021.614285714
76,4108044,821608.8,46727,600280.807142857
77,3127700,625540,360997,625540
78,3585747,448218.375,125471.5,833623.428571429
79,7291948,1041706.85714286,1143980,1041706.85714286
80,2380149,793383,1077369,793383
81,8573550,1428925,1050028.5,979067.356026786
82,6246357,1561589.25,1452759.5,995019.072405134
83,10624492,1517784.57142857,1320356,1010970.78878348
84,3825597,956399.25,1024390,956399.25
85,11530797,1281199.66666667,1068893,1010801.55625
86,7102002,1183667,1138520,1065203.8625
87,5301873,1060374.6,1092538,1060374.6
88,193819,64606.3333333333,46870,1068917.15714286
89,7542218,1077459.71428571,1006560,1077459.71428571
90,4344462,543057.75,134287,849495.566517857
91,1320649,440216.333333333,35468,621531.41875
92,2454503,490900.6,324980,700005.0875
93,5298186,883031,458023.5,883031
94,1501633,500544.333333333,247409,912713.654761905
95,5511697,1837232.33333333,1201914,942396.309523809
96,9689738,1384248.28571429,1401811,820140.321428571
97,4187306,697884.333333333,924076,697884.333333333
98,15164313,1684923.66666667,1087031,682808.758300781
99,1385760,277152,48716,679111.798095703
100,1111854,277963.5,159141.5,690445.149047852
101,6305303,1576325.75,1606745.5,908019.324523926
102,4502374,1125593.5,639557,1125593.5
103,5462487,1820829,1210960,1196531.21276042
104,7484312,1496862.4,1109174,1210120.55690104
105,306055,153027.5,153027.5,1134612.05865885
106,4301840,1433946.66666667,1535678,1059103.56041667
107,4242454,707075.666666667,223417,979614.63735119
108,6300880,900125.714285714,1198232,962807.604389881
109,6622004,946000.571428571,763769,946000.571428571
110,3389628,1129876,1189854,1129876
111,4347696,1449232,1205025,1148425.9375
112,5785136,1446284,1234324.5,1166975.875
113,7304055,1826013.75,2110784.5,1157595
114,3475624,868906,963432.5,1131521.91145833
115,7333967,1222327.83333333,1134613.5,1105448.82291667
116,4737514,676787.714285714,218899,1020936.22916667
117,6556357,819544.625,1131286.5,1070345.36458333
118,2239509,1119754.5,1119754.5,1087759.90104167
119,4053879,810775.8,891423,1089177.13802083
120,8724755,1090594.375,1108366.5,1074027.48094223
121,6827452,758605.777777778,984694,1058877.82386364
122,11298774,1027161.27272727,1218050,1027161.27272727
123,2538715,846238.333333333,1245267,846238.333333333
124,5439822,777117.428571429,896553,843301.458333333
125,4134325,826865,949490,843739.479166667
126,11147734,1393466.75,1094302,844177.5
127,2064434,516108.5,437936,861490
128,4205973,1051493.25,1108314.5,1051493.25
129,6404074,914867.714285714,893246,914867.714285714
130,7609614,845512.666666667,1002203,845512.666666667
131,11839150,910703.846153846,838989,910703.846153846
132,6492891,649289.1,227645.5,971803.478632479
133,9296128,1032903.11111111,954074,938301.110409989
134,2718719,388388.428571429,138374,904798.7421875
135,5347825,445652.083333333,184702,859454.945746528
136,4539955,648565,235205,814111.149305556
137,2802903,934301,906468,845737.574652778
138,7896276,877364,1165051,877364
139,5926879,740859.875,541827,740859.875
140,3692470,527495.714285714,216952,692829.5625
141,5158394,644799.25,955163.5,574639.664110456
142,1536485,219497.857142857,87738,572288.696406885
143,3718425,371842.5,188759,569937.728703315
144,1830085,457521.25,418975.5,574214.048061999
145,4087611,583944.428571429,935820,583944.428571429
146,5270263,878377.166666667,969044,662688.974702381
147,1099185,274796.25,170589.5,741433.520833333
148,602476,120495.2,134153,604489.875
149,3736734,934183.5,1172265.5,737620.6375
150,4176,4176,4176,740902.894270833
151,8073193,807319.3,1010523.5,728401.613802083
152,4295402,715900.333333333,946875,715900.333333333
153,2531898,843966,1199772,714140.854166667
154,4557816,911563.2,1054781,712381.375
155,2323187,580796.75,499773.5,580796.75
156,5196962,866160.333333333,589591.5,627030.375
157,2019792,673264,849800,673264
158,4324746,617820.857142857,739118,617820.857142857
159,3477413,869353.25,1086066,649505.678571429
160,7257,7257,7257,681190.5
161,1972111,493027.75,434652,621790.145833333
162,1166297,388765.666666667,202667,605795.822916667
163,2007901,501975.25,457119,589801.5
164,3966758,661126.333333333,826504,661126.333333333
165,3418163,683632.6,1096666,683632.6
166,7205751,1200958.5,1101478,676981.708333333
167,1164214,1164214,1164214,670330.816666667
168,2500430,416738.333333333,236913,587840.366666667
169,6369060,909865.714285714,906972,590900.933333333
170,2375846,593961.5,616203,593961.5
171,90576,90576,90576,614977.85
172,3179971,635994.2,898431,635994.2
173,2805135,701283.75,821937.5,668064.586607143
174,3348626,478375.142857143,159970,700134.973214286
175,2095955,1047977.5,1047977.5,698986.196428571
176,7356778,919597.25,958313.5,687395.252232143
177,3002027,750506.75,897561,675804.308035714
178,4388035,626862.142857143,754179,626862.142857143
179,983406,327802,45158,621253.301130022
180,1744465,436116.25,396059,621918.294677734
181,2613278,373325.428571429,127746,631318.397338867
182,2562874,640718.5,804770,640718.5
183,2551892,1275946,1275946,667271.096354167
184,3699738,924934.5,896302,693823.692708333
185,774090,258030,7166,678776.34375
186,0,0,NA,691591.280208333
187,2930951,976983.666666667,986338,704406.216666667
188,3956528,791305.6,757511,714418.965527344
189,1816649,908324.5,908324.5,713927.350016276
190,7259141,1037020.14285714,998557,713435.734505208
191,2753445,688361.25,742189,688361.25
192,2902320,580464,666967,667323.71875
193,6275422,784427.75,775362.5,646286.1875
194,1846945,923472.5,923472.5,712108.375
195,3198945,639789,939075,639789
196,6043026,863289.428571429,753119,714050
197,4729866,788311,902593,704004.85
198,1185249,296312.25,81859,693959.7
199,2998042,599608.4,825996,677059.498611111
200,2061850,515462.5,440078,660159.297222222
201,3613062,903265.5,880715.5,720710.194444444
202,8333621,925957.888888889,909696,639516.233585859
203,6141545,558322.272727273,807767,675137.116792929
204,3553790,710758,827694,710758
205,2528131,632032.75,583452.5,632032.75
206,6106,6106,6106,626762.875
207,1242986,621493,621493,621493
208,1781504,445376,384849.5,586168.666666667
209,1618490,323698,102736,550844.333333333
210,1968938,656312.666666667,703438,656312.666666667
211,42592,42592,42592,584342.237467448
212,0,0,NA,548596.84366862
213,813245,271081.666666667,6267,531275.92183431
214,3597685,513955,695983,562067.960917155
215,3557160,592860,738335.5,592860
216,1901381,475345.25,495783,655747.071428571
217,5030439,718634.142857143,826036,718634.142857143
218,5756870,822410,912503,719547.404761905
219,2161382,720460.666666667,753944,720460.666666667
220,6383819,911974.142857143,919416,760278.157459077
221,1867276,266753.714285714,168044,800095.648251488
222,3042227,1014075.66666667,1008776,794056.869915675
223,7022336,780259.555555556,1009916,780259.555555556
224,3908545,1302848.33333333,867206,719961.277777778
225,3298315,659663,749446,659663
226,6114277,1019046.16666667,1039513,698981.25
227,4429797,738299.5,841298.5,738299.5
228,6584155,940593.571428571,990650,752646.375
229,1877019,938509.5,938509.5,766993.25
230,4173492,695582,820013.5,695582
231,3199285,799821.25,766252.5,710289.090625
232,3165613,633122.6,733223,724996.18125
233,3495913,873978.25,936092.5,696107.903125
234,2084407,347401.166666667,123234,667219.625
235,5525532,460461,576133.5,749071.979166667
236,2492773,830924.333333333,856356,678147.822916667
237,3643342,607223.666666667,740066.5,673622.203125
238,5344987,890831.166666667,914620,669096.583333333
239,1919178,479794.5,495968,730969.5
240,3426647,571107.833333333,733060.5,680020.547916667
241,4720141,524460.111111111,758318,683527.953125
242,1646738,329347.6,164700,687035.358333333
243,2771529,923843,895349,708194.057291667
244,2448900,489780,693989,729352.75625
245,4244290,707381.666666667,792877,707381.666666667
246,5131703,466518.454545455,609132,708202.159244792
247,4134167,826833.4,789116,706590.778580729
248,1979067,989533.5,989533.5,704979.397916667
249,2678368,669592,727184.5,669592
250,2983914,745978.5,734239.5,653763.09375
251,1010879,505439.5,505439.5,637934.1875
252,4239119,529889.875,703779,529889.875
253,164846,164846,164846,530635.6375
254,2656907,531381.4,712944,531381.4
255,991247,330415.666666667,107129,532111.382291667
256,2245030,449006,398652,532841.364583333
257,1854714,463678.5,433308.5,541954.883333333
258,3641842,606973.666666667,870661,606973.666666667
259,1580342,526780.666666667,643108,526780.666666667
260,3442379,688475.8,730201,534623.345833333
261,899538,449769,449769,542466.025
262,1585825,396456.25,397869.5,615208.2625
263,5503604,687950.5,764179,620401.9140625
264,0,0,NA,618840.70703125
265,4508229,751371.5,758808.5,617279.5
266,1544694,514898,738789,514898
267,872472,290824,137063,443416.125
268,854077,854077,854077,448230.3125
269,1812178,453044.5,459296,453044.5
270,2386686,477337.2,637069,477337.2
271,1972722,394544.4,249974,448307.244791667
272,1117237,139654.625,97067.5,489182.955729167
273,1590176,530058.666666667,655423,494227.01953125
274,1658200,829100,829100,499271.083333333
275,936967,468483.5,468483.5,468483.5
276,984805,196961,134119,491877.062304688
277,2758536,689634,838581,502589.169824219
278,3248234,649646.8,805280,497052.334912109
279,2949093,491515.5,439230,491515.5
280,814447,407223.5,407223.5,455047.234375
281,1092587,1092587,1092587,418578.96875
282,1441795,360448.75,327844.5,429934.4375
283,1904131,476032.75,430798.5,476032.75
284,2881098,480183,374088,480183
285,1129721,376573.666666667,205917,432668.416666667
286,2709104,677276,835448.5,413201.208333333
287,1181202,393734,217628,408539.354166667
288,3245893,649178.6,808781,411280.177083333
289,828042,414021,414021,414021
290,1775690,443922.5,372952,443922.5
291,1264595,316148.75,271077,459062.083333333
292,1422605,474201.666666667,641572,474201.666666667
293,1664212,416053,372637,416053
294,204725,51181.25,63285,390131.04288737
295,3607121,901780.25,744445,364209.08577474
296,689065,229688.333333333,70628,369483.995768229
297,793615,396807.5,396807.5,379077.901901972
298,2265511,566377.75,679828,379807.0089867
299,995820,497910,497910,380536.116071429
300,3248529,464075.571428571,692203,360663.035714286
